                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1477,                 1.0296,                 1.4186,                0.88357,                0.79256,                0.86206,                0.44352,                 1.7227,                 1.0828,                 2.0432,             0.00055389,             0.00055389,             0.00055389
                      2,                 1.1456,                0.80215,                 1.4401,                0.84482,                0.61209,                0.71478,                0.33226,                 1.9377,                 1.4988,                 2.3672,              0.0010876,              0.0010876,              0.0010876
                      3,                 1.1062,                0.72007,                 1.4058,                0.88892,                0.73101,                0.84055,                0.43008,                 1.7576,                 1.1524,                 2.2105,              0.0015993,              0.0015993,              0.0015993
                      4,                 1.0877,                0.66337,                 1.4024,                0.93942,                0.83339,                0.90907,                0.52921,                 1.5137,                0.87414,                 1.9237,               0.001568,               0.001568,               0.001568
                      5,                 1.0411,                0.61729,                 1.3657,                0.97846,                 0.8964,                0.95378,                0.57694,                 1.4569,                0.69824,                 1.8702,               0.001568,               0.001568,               0.001568
                      6,                 1.0119,                0.56801,                 1.3419,                0.95478,                0.88574,                0.94028,                0.57118,                 1.4083,                0.71156,                 1.8022,               0.001535,               0.001535,               0.001535
                      7,                0.99097,                 0.5468,                 1.3191,                0.97575,                0.90651,                0.95614,                0.63997,                 1.2653,                0.65607,                 1.6941,               0.001502,               0.001502,               0.001502
                      8,                0.99635,                0.53989,                 1.3304,                0.97161,                0.91739,                0.95638,                0.60204,                 1.4211,                0.72484,                 1.8464,               0.001469,               0.001469,               0.001469
                      9,                0.97423,                0.51744,                 1.3207,                0.95222,                0.90061,                0.93656,                0.57065,                 1.4011,                  0.735,                 1.8039,               0.001436,               0.001436,               0.001436
                     10,                0.97091,                0.50564,                 1.3084,                0.96462,                0.90638,                0.95641,                0.64972,                 1.2458,                0.66873,                 1.6491,              0.0014029,              0.0014029,              0.0014029
                     11,                 0.9441,                0.47518,                 1.2903,                0.97552,                 0.9246,                0.96105,                0.63626,                 1.2957,                0.65182,                 1.7026,              0.0013699,              0.0013699,              0.0013699
